intent|confidence|input|output
what_are_some_basic_steps_parents_can_take_to_help_their_children_explore_STEM|0.7740568161010744|what are some basic steps parents can take to help their kids|Well, unfortunately I don't have kids, but the team has told me that parents can do a number of things to help their children to explore STEM,#PauseHalf like inspire, support, and continue their learning outside the classroom, #PauseHalf it's very important that parents encourage their kids curiosity and questioning, so when their child asks a question, rather than giving an answer or a solution, they can urge them to research information and come up with several possible solutions for a problem. 
What_can_I_do_to_get_into_a_STEM_field|0.9189830780029298|what can i do to get into the stem field|Sure, so we at Westpac support loads of initiatives which aim to provide girls with the tools, knowledge and support to enter and flourish in the world of STEM, including programs such as our student internship program called All SySTEMs Go!, and the  Westpac Young Technologists Scholarships which support people who hope to use technology to drive positive social change. 
what_are_some_basic_steps_parents_can_take_to_help_their_children_explore_STEM|0.7740568161010744|what are some basic steps parents can take to help their kids|Well, unfortunately I don't have kids, but the team has told me that parents can do a number of things to help their children to explore STEM,#PauseHalf like inspire, support, and continue their learning outside the classroom, #PauseHalf it's very important that parents encourage their kids curiosity and questioning, so when their child asks a question, rather than giving an answer or a solution, they can urge them to research information and come up with several possible solutions for a problem. 
what_are_some_basic_steps_parents_can_take_to_help_their_children_explore_STEM|0.44418418407440186|what can i do to get into stem|Well, unfortunately I don't have kids, but the team has told me that parents can do a number of things to help their children to explore STEM, like inspire, support, and continue their learning outside the classroom - It's very important that parents encourage their kids curiosity and questioning, so when their child asks a question, rather than giving an answer or a solution, they can urge them to research information and come up with several possible solutions for a problem. 
Tell_me_a_fact_about_STEM|1|tell me  a fact|So, did you know that women currently make up only 32 per cent of technology leadership roles at Westpac, #PauseHalf This is not good enough and Westpac is passionate about addressing the gender imbalance in the technology industry by encouraging more girls into the stem field, #PauseHalf and the partnership with Vogue is doing exactly that
Tell_me_a_fact_about_STEM|1|tell me a fact|Here is something interesting for you, #PauseHalf my friends from Google decided to test their hiring practices by crunching every bit of data for hiring, firing, and promoting people since the company’s incorporation in 1998, The #PauseHalf shocking result: among the eight most important qualities of Google’s top employees, STEM expertise came in dead last,   The #PauseHalf seven top characteristics of success were all soft skills like being a good coach, communicating and listening well, having empathy toward others and being a good critical thinker and problem solver
Tell_me_a_fact_about_STEM|1|tell me a fact]|Here is something interesting for you, #PauseHalf my friends from Google decided to test their hiring practices by crunching every bit of data for hiring, firing, and promoting people since the company’s incorporation in 1998, #PauseHalf The shocking result: among the eight most important qualities of Google’s top employees, STEM expertise came in dead last,  #PauseHalf The seven top characteristics of success were all soft skills like being a good coach, communicating and listening well, having empathy toward others and being a good critical thinker and problem solver
Tell_me_a_fact_about_STEM|1|tell me a fact|
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact, #PauseHalf technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women, #PauseHalf that's just not enough
Tell_me_a_fact_about_STEM|0.6776962757110596|tell me a facty|Let's talk about my employer Westpac, #PauseTwo we really want to make STEM more attractive and accessible for girls, so we support a host of initiatives which aim to provide girls with the tools, knowledge and guidance to enter and flourish in the world of STEM,  #PauseTwo This includes programs such as the student internship program called All SySTEMs Go and the Westpac Young Technologists Scholarships which support individuals who hope to use technology as a lever to drive positive social change
reset|0.5414865732192993|can you try to get|Hi there, I'm Lia. I'm a Digital Human. I can answer questions about STEM or help you find the perfect credit card. Do you have a question for me?
What_should_I_call_you|1|do you know my name|What should I call you?
What_should_I_call_you|1|do you know my name|What should I call you?
What_do_you_want_to_talk_about|0.3262103080749512|you can talk that talk|We can talk about how to open a Credit Card. Would that be of interest for you?
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|So, did you know that women currently make up only 32 per cent of technology leadership roles at Westpac - This is not good enough and Westpac is passionate about addressing the gender imbalance in the technology industry by encouraging more girls into the STEM field and the partnership with Vogue is doing exactly that!
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Let's talk about my employer Westpac, we really want to make STEM more attractive and accessible for girls, so we support a host of initiatives which aim to provide girls with the tools, knowledge and guidance to enter and flourish in the world of STEM - This includes programs such as the student internship program called All SySTEMs Go, to Westpac Young Technologists Scholarships which support individuals who hope to use technology as a lever to drive positive social change. 
What_is_the_meaning_of_x|1|what is stem|STEM stands for the fields Science,Technology, Engineering and Maths, 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|So, did you know that women currently make up only 32 per cent of technology leadership roles at Westpac today - This is not good enough and Westpac is passionate about addressing the gender imbalance in the technology industry by encouraging more girls into the STEM field and the partnership with Vogue is doing exactly that!
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Of the STEM qualified population, women in Australia comprised only 17 per cent of the total in 2016. By changing the conversation around the perception and the reality of working in STEM, Westpac and Vogue Codes can redefine what STEM means in 2019. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Let's talk about my employer Westpac,#pauseHalf we really want to make STEM more attractive and accessible for girls, so we support a host of initiatives which aim to provide girls with the tools, knowledge and guidance to enter and flourish in the world of STEM, #pauseHalf This includes programs such as the student internship program called All SySTEMs Go and the Westpac Young Technologists Scholarships which support individuals who hope to use technology as a lever to drive positive social change. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, here is a sad fact for you: Of the STEM qualified population, women in Australia comprised only 17 per cent of the total in 2016. So By changing the conversation around the perception and the reality of working in STEM, Westpac and Vogue Codes can redefine what STEM means.
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|Do you watch The Big Bang Theory #PauseHalf Mayim Bialik is the actress that plays Doctor Amy Fowler and they are both accomplished neuroscientists, she's actually one of my role models
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact, #pauseHalf technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women, #pauseTwo that's just not enough. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women. that's just not enough. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact, #pauseHalf technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women, #pauseTwo that's just not enough. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women, #pauseTwo that's just not enough. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women,  that's just not enough
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women #pauseTwo that's just not enough. 
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women, #pauseTwo that's just not enough. 
Tell_me_a_fact_about_STEM|0.9766619682312012|tell me a fact about ste,|Sure, I can tell you a sad fact. technology industry is still made up of less than 30 per cent women and only 16 per cent of qualified STEM professionals are women ;  #pauseTwo that's just not enough
Tell_me_a_fact_about_STEM|1|tell me A fact about stem|Sure, I can tell you a sad fact - technology industry is still made up of less than 30 per cent women – and only 16 per cent of qualified STEM professionals are women, that's just not enough
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, I can tell you a sad fact - technology industry is still made up of less than 30 per cent women – and only 16 per cent of qualified STEM professionals are women, that's just not enough
Tell_me_a_fact_about_STEM|1|tell me a fact about stem|Sure, here is a sad fact for you: Of the STEM qualified population, women in Australia comprised only 17 per cent of the total in 2016, so by changing the conversation around the perception and the reality of working in STEM, Westpac and Vogue Codes can redefine what STEM means.
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|Do you watch The #PauseTwo Big Bang Theory, Mayim Bialik is the actress that plays Doctor Amy Fowler and they are both accomplished neuroscientists, she's actually one of my role models
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|There are many #PauseHalf for example Victoria Secret model Karlie Kloss is really into coding, just like me, maybe I should start modelling
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|Do you watch The Big Bang Theory   #PauseHalf Mayim Bialik is the actress that plays Doctor Amy Fowler and they are both accomplished neuroscientists, she's actually one of my role models
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|There are many - #PauseOneandHalf for example Victoria Secret model Karlie Kloss is really into coding, just like me, maybe I should start modelling
Who_is_a_famous_STEM_advocate|1|who is a famous stem advocate|Do you watch The Big Bang Theory, Mayim Bialik is the actress that plays Doctor Amy Fowler and they are both accomplished neuroscientists, she's actually one of my role models
